시설명,소재지도로명주소,소재지지번주소,설치장소설명,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호
충청남도 금산군 복수면행정복지센터,충청남도 금산군 복수면 복수로 150,충청남도 금산군 복수면 곡남리 135-1,사무실 입구,Y,Y,충청남도 금산군 복수면행정복지센터,041-750-8673
충청남도 금산군 추부면 문화의집,충청남도 금산군 추부면 하마전로 31,충청남도 금산군 추부면 마전리 420-8,문화의집 입구,Y,Y,충청남도 금산군 문화의집,041-750-8724
대산읍행정복지센터,충청남도 서산시 대산읍 구진로 42-4,,1층 현관,Y,Y,충청남도 서산시청,041-660-2344
부춘동행정복지센터,충청남도 서산시 문화로 54,,1층 현관,Y,Y,충청남도 서산시청,041-660-2344
석남동행정복지센터,충청남도 서산시 남부순환로 982,,1층 체력단련실,Y,Y,충청남도 서산시청,041-660-2344
장애인을위한장애인의모임,충청남도 서산시 서해로 3573,,사무실 안,Y,Y,충청남도 서산시청,041-660-2344
서림요양원,충청남도 서산시 음암면 석동로 169,,1층 물리치료실,Y,Y,충청남도 서산시청,041-660-2344
서산시장애인복지관,충청남도 서산시 호수공원14로 6,,건물 뒷편,Y,Y,충청남도 서산시청,041-660-2344
중증장애인자립생활지원센터,충청남도 서산시 율지7로 7,,사무실 안,Y,Y,충청남도 서산시청,041-660-2344
지체장애인협회,"충청남도 서산시 안견로252, 4층",,4층 사무실 앞,Y,Y,충청남도 서산시청,041-660-2344
성정2동행정복지센터,충청남도 천안시 서북구 서부8길 29,충청남도 천안시 서북구 성정동 684-1,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
충남서부보훈지청,충청남도 홍성군 홍성읍 문화로 91,충청남도 홍성군 홍성읍 오관리 488-2,1층 입구 안쪽,Y,N,충남서보훈지청,041-630-3700
홍성군장애인스포츠센터,충청남도 홍성군 홍성읍 홍덕서로 78,충청남도 홍성군 홍성읍 소향리 410-1,1층 안내소 옆,Y,N,홍성군장애인스포츠센터,041-631-9110
종합운동장,충청남도 천안시 서북구 번영로 208,충청남도 천안시 서북구 불당동 669-1,여성장애인연대입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
중앙도서관,충청남도 천안시 동남구 중앙로 118,충청남도 천안시 동남구 원성동 261-38,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
충청남도 천안시 동남구청(본관),충청남도 천안시 동남구 옛시청길 39,충청남도 천안시 동남구 문화동 112-1,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
쌍용도서관,충청남도 천안시 서북구 월봉4로 153,충청남도 천안시 서북구 쌍용동 1899,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
북부스포츠센터,충청남도 천안시 서북구 성환읍 성환1로 45,충청남도 천안시 서북구 성환읍 매주리 459-31,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
봉명동행정복지센터,충청남도 천안시 동남구 봉정로 39,충청남도 천안시 동남구 봉명동 45-9,민원실 내,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
홍성군장애인종합복지관,충청남도 홍성군 홍성읍 조양로33번길 17,충청남도 홍성군 홍성읍 옥암리 62-8,1층 입구 안쪽,Y,Y,홍성군장애인종합복지관,041-634-0267
동면행정복지센터,충청남도 천안시 동남구 동면 동산1길 15,충청남도 천안시 동남구 동면 화계리 181-1,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
수신면행정복지센터,충청남도 천안시 동남구 수신면 수신로 431,충청남도 천안시 동남구 수신면 속창리 127-5,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
풍세면행정복지센터,충청남도 천안시 동남구 풍세면 상정1길 3,충청남도 천안시 동남구 풍세면 풍서리 512-2,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
광덕면행정복지센터,충청남도 천안시 동남구 광덕면 신흥리3길 33,충청남도 천안시 동남구 광덕면 신흥리 296-1,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
신방동행정복지센터,충청남도 천안시 동남구 천안천변길 129-41,충청남도 천안시 동남구 신방동 719-3,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
청룡동행정복지센터,충청남도 천안시 동남구 청수14로 99,충청남도 천안시 동남구 청당동 479,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
누리별장애인종합복지관,충청남도 천안시 동남구 천안대로 359,충청남도 천안시 동남구 삼룡동 332-1,출입구,Y,Y,충청남도 천안시 노인장애인과,041-521-5387
장애인회관,충청남도 당진시 시청2로 49-25,충청남도 당진시 수청동 1040,지하 1층 현관,Y,Y,충청남도 당진시청,041-360-8083
합덕읍행정복지센터,충청남도 당진시 합덕읍 예덕로 403,충청남도 당진시 합덕읍 운산리 675-172,1층 현관,Y,Y,충청남도 당진시청,041-360-8011
신평면행정복지센터,충청남도 당진시 신평면 신평로 834,충청남도 당진시 신평면 금천리 458,1층 현관,Y,Y,충청남도 당진시청,041-360-8515
당진1동행정복지센터,충청남도 당진시 당진중앙1로 33,충청남도 당진시 읍내동 560,1층 현관,Y,Y,충청남도 당진시청,041-360-8633
당진2동행정복지센터,충남 당진시 서부로 139,충청남도 당진시 채운동 239,1층 현관,Y,Y,충청남도 당진시청,041-360-8662
석문면행정복지센터,충청남도 당진시 석문면 통정3길 2-1,충청남도 당진시 석문면 통정리 393-1,1층 현관,Y,Y,충청남도 당진시청,041-360-8213
당진교육문화스포츠센터,충청남도 당진시 당진중앙2로 132-30,충청남도 당진시 읍내동 232-85,1층 현관,Y,Y,충청남도 당진시청,041-360-6906
송악교육문화스포츠센터,충청남도 당진시 송악읍 틀모시로 830,충청남도 당진시 송악읍 기지시리 524,2층 로비,Y,Y,충청남도 당진시청,041-360-6942
당진남부사회복지관,충청남도 당진시 우강면 우강창말길 24,충청남도 당진시 우강면 창리 113-2,1층 현관,Y,Y,충청남도 당진시청,041-362-9625
당진북부사회복지관,충청남도 당진시 정미면 정미로 683-12,충청남도 당진시 정미면 천의리 266,1층 현관,Y,Y,충청남도 당진시청,041-354-4405
송산사회복지관,충청남도 당진시 송산면 장갈길 15,충청남도 당진시 송산면 삼월리 121-5,1층 휴게실,Y,Y,충청남도 당진시청,041-353-7301
당진시장애인복지관,충청남도 당진시 시청1로 38,충청남도 당진시 수청동 1005,3층 휴게실,Y,Y,충청남도 당진시청,041-360-3040
지체장애인협회,충청남도 당진시 백암1길 61,충청남도 당진시 채운동 170-2,1층 휴게실,Y,Y,충청남도 당진시청,041-355-9490
중증장애인자립지원센터,충청남도 당진시 시청2로 49-25,충청남도 당진시 수청동 1040,2층 현관,Y,Y,충청남도 당진시청,041-357-4201
당진시보건소,충청남도 당진시 서부로 56,충청남도 당진시 채운동 1040,1층 현관,Y,Y,충청남도 당진시청,041-360-6007
당진종합병원,충청남도 당진시 반촌로 5-15,충청남도 당진시 시곡동 57-1,1층 복도,Y,Y,충청남도 당진시청,041-357-0100
고덕면행정복지센터,충청남도 예산군 고덕면 고덕중앙로 45-5,충청남도 예산군 고덕면 대천리 708-1,예산군 고덕면행정복지센터 민원팀 창구옆,Y,Y,충청남도 예산군청,041-339-8815
예산군장애인종합복지관,충청남도 예산군 신암면 추사고택로 496,충청남도 예산군 신암면 신택리 174-3,예산군 장애인종합복지관 1층 안내데스크 옆,Y,Y,충청남도 예산군청,041-330-9005
예산군노인종합복지관,충청남도 예산군 예산읍 벚꽃로 214-11,충청남도 예산군 예산읍 석양리 298,예산군 노인종합복지관 지하1층 식당 앞,Y,Y,충청남도 예산군청,041-330-2901
충청남도 금산군 금산읍행정복지센터,충청남도 금산군 금산읍 비호로 69,충청남도 금산군 금산읍 상리 38-2,중앙현관 좌측,N,N,충청남도 금산군 금산읍행정복지센터,041-750-8126
충청남도 금산군 진악지구대,충청남도 금산군 금산읍 금산로 1446,충청남도 금산군 금산읍 상리 137-3,진악지구대 앞 정자,N,N,충청남도 금산군 금산읍행정복지센터,041-750-8126
충청남도 금산군 다락원 장애인의집,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,장애인의 집 입구,N,N,충청남도 금산군 금산다락원,041-750-3485
충청남도 금산군 남일면행정복지센터,충청남도 금산군 남일면 봉황로 84,충청남도 금산군 남일면 초현리 308-2,남일보건지소 입구,Y,Y,충청남도 금산군 남일면행정복지센터,041-750-8523
장애인거주시설 아이원,충청남도 태안군 태안읍 안면대로 208-53,,장애인거주시설 아이원,N,Y,충청남도 태안군 복지증진과,041-670-2776
당진시청,충청남도 당진시 시청1로 1,충청남도 당진시 수청동 1002,1층 민원실앞,Y,Y,충청남도 당진시청,041-350-3352
고남면사무소,충청남도 태안군 고남면 안면대로 4254-12,,고남면사무소,N,Y,충청남도 태안군 복지증진과,041-670-2776
남면사무소,충청남도 태안군 남면 달산포로 311,,남면사무소,N,N,충청남도 태안군 복지증진과,041-670-2776
근흥면사무소,충청남도 태안군 근흥면 근흥로 724,,근흥면사무소,N,N,충청남도 태안군 복지증진과,041-670-2776
소원면사무소,충청남도 태안군 소원면 소근로 26-12,,소원면사무소,N,N,충청남도 태안군 복지증진과,041-670-2776
원북면사무소,충청남도 태안군 원북면 상리길 11,,원북면사무소,N,N,충청남도 태안군 복지증진과,041-670-2776
이원면사무소,충청남도 태안군 이원면 분지길 14,,이원면사무소,N,Y,충청남도 태안군 복지증진과,041-670-2776
태안군장애인복지관,충청남도 태안군 태안읍 군청6길 30,,태안군장애인복지관,N,Y,충청남도 태안군 복지증진과,041-670-2776
태안군지체장애인협회,충청남도 태안군 태안읍 후곡로 83,,태안군지체장애인협회,N,Y,충청남도 태안군 복지증진과,041-670-2776
태안군교육문화센터,충청남도 태안군 태안읍 백화로 180,,태안군교육문화센터,N,Y,충청남도 태안군 복지증진과,041-670-2776
태안군청소년수련관,충청남도 태안군 태안읍 백화로 199,,태안군청소년수련관,N,Y,충청남도 태안군 복지증진과,041-670-2776
아산시지체장애인협회,충청남도 아산시 번영로 143번길 36,충청남도 아산시 권곡동 538-11,센터 앞,Y,Y,충청남도 아산시,041-536-8657
천안아산역,충청남도 아산시 배방읍 희망로 100,충청남도 아산시 배방읍 장재리 305,4홈 엘리베이터 옆,N,N,충청남도 아산시,041-536-8657
온양온천역,충청남도 아산시 온천대로 1496,충청남도 아산시 온천동 56-9,역사 내 휴게실,N,N,충청남도 아산시,041-536-8657
신창역,충청남도 아산시 신창면 행목로 50,충청남도 아산시 신창면 행목리 346-46,역무실 바로 옆,N,N,충청남도 아산시,041-536-8657
아산시청,충청남도 아산시 시민로 456,충청남도 아산시 온천동 1626,정문으로 들어와서 좌측 화장실 앞,N,N,충청남도 아산시,041-536-8657
탄천면사무소,충청남도 공주시 탄천면 통산로 165,,1층,N,N,공주시,041-840-8051
충청남도 공주시청,충청남도 공주시 봉황로 1,,"1층 현관,1층별관",N,N,공주시,041-840-8051
공주노인회관,충청남도 공주시 당간지주길 7,,1층,N,N,공주시,041-840-8051
백제체육관,충청남도 공주시 고마나루길 51-14,,1층 현관,N,N,공주시,041-840-8051
충청남도 공주시 종합사회복지관,충청남도 공주시 의당면 의당로 257,,1층 현관,N,N,공주시,041-840-8051
충청남도 공주시 장애인종합복지관,충청남도 공주시 의당로 23,,1층 현관,N,N,공주시,041-840-8051
공주역,충청남도 공주시 이인면 새빛로 100,,1층 대합실,N,N,공주시,041-840-8051
신풍면사무소,충청남도 공주시 신풍면 안뜸길 14,,1층,N,N,공주시,041-840-8051
사곡면사무소,충청남도 공주시 사곡면 마곡사로 103,,1층,N,N,공주시,041-840-8051
고마센터,충청남도 공주시 고마나루길 90,,2층 입구,N,N,공주시,041-840-8051
아산시 노인종합복지관,충청남도 아산시 남산로 10,충청남도 아산시 온천동 266-35,센터 내 휴게실,Y,Y,충청남도 아산시,041-536-8657
태안군청,충청남도 태안군 태안읍 군청로 1,,태안군청 민원봉사과,N,N,충청남도 태안군 복지증진과,041-670-2776
태안읍사무소,충청남도 태안군 태안읍 백화로 54,,태안읍사무소,N,N,충청남도 태안군 복지증진과,041-670-2776
안면읍사무소,충청남도 태안군 안면읍 장터로 149,,안면읍사무소,N,N,충청남도 태안군 복지증진과,041-670-2776
홍산면행정복지센터,충청남도 부여군 홍산면 홍산로 77,충청남도 부여군 홍산면 북촌리 414,1층 현관,Y,N,충청남도 부여군청,041-830-6522
옥산면행정복지센터,충청남도 부여군 옥산면 대백제로 336-6,충청남도 부여군 옥산면 안서리 368-1,1층 현관,Y,N,충청남도 부여군청,041-830-6551
남면행정복지센터,충청남도 부여군 남면 남성로 426,충청남도 부여군 남면 회동리 339-2,1층 출입구,Y,N,충청남도 부여군청,041-830-6583
부여군청,충청남도 부여군 부여읍 사비로 33,충청남도 부여군 부여읍 동남리 725,신관 1층,Y,N,충청남도 부여군청,041-830-2097
부여군보건소,충청남도 부여군 부여읍 성왕로 205,충청남도 부여군 부여읍 구아리 136,1층 현관,N,N,충청남도 부여군청,041-830-8600
부여읍행정복지센터,충청남도 부여군 부여읍 사비로 36,충청남도 부여군 부여읍 동남리 692,1층 현관,N,N,충청남도 부여군청,041-830-6318
규암면행정복지센터,충청남도 부여군 규암면 계백로 39,충청남도 부여군 규암면 규암리 산 12-1,1층 현관,N,N,충청남도 부여군청,041-830-6357
은산면행정복지센터,충청남도 부여군 은산면 충의로 690,충청남도 부여군 은산면 신대리 359-40,1층 제2출입구 경사로 끝,Y,N,충청남도 부여군청,041-830-6401
외산면행정복지센터,충청남도 부여군 외산면 외산로 111,충청남도 부여군 외산면 만수리 15-2,1층 현관,N,N,충청남도 부여군청,041-830-6432
내산면행정복지센터,충청남도 부여군 내산면 성충로 982,충청남도 부여군 내산면 운치리 695-1,1층  현관,Y,Y,충청남도 부여군청,041-830-6462
구룡면행정복지센터,충청남도 부여군 구룡면 태양로 17,충청남도 부여군 구룡면 태양리 67-7,구룡면주민자치센터,N,N,충청남도 부여군청,041-830-6492
